Batch_ID,Stage,Start_Time_Min,End_Time_Min,Duration_Min
Семейный_batch_3,Комбинирование,0,3,3
Славянский_batch_1,Комбинирование,0,2,2
Славянский_batch_1,Смешивание,2,12,10
Хлеб «Тартин бездрожжевой»_batch_1,Комбинирование,2,6,4
Семейный_batch_3,Смешивание,3,13,10
Формовой_batch_15,Комбинирование,3,24,21
Отрубной (общий)_batch_2,Комбинирование,6,19,13
Хлеб «Тартин бездрожжевой»_batch_1,Смешивание,6,16,10
Славянский_batch_1,Формовка,12,13,1
Семейный_batch_3,Формовка,13,15,2
Славянский_batch_1,Расстойка,13,38,25
Семейный_batch_3,Расстойка,15,40,25
Хлеб «Тартин бездрожжевой»_batch_1,Формовка,16,18,2
Хлеб «Тартин бездрожжевой»_batch_1,Расстойка,18,38,20
Диета_batch_2,Комбинирование,19,40,21
Отрубной (общий)_batch_2,Смешивание,19,29,10
Жайлы_batch_1,Комбинирование,24,45,21
Формовой_batch_15,Смешивание,24,36,12
Отрубной (общий)_batch_2,Формовка,29,36,7
Отрубной (общий)_batch_2,Расстойка,36,61,25
Формовой_batch_15,Формовка,36,47,11
Славянский_batch_1,Выпекание,38,55,17
Хлеб «Тартин бездрожжевой»_batch_1,Выпекание,38,54,16
Диета_batch_2,Смешивание,40,50,10
Плетенка_batch_1,Комбинирование,40,60,20
Семейный_batch_3,Выпекание,40,57,17
Жайлы_batch_1,Смешивание,45,55,10
Формовой_batch_10,Комбинирование,45,66,21
Формовой_batch_15,Расстойка,47,72,25
Диета_batch_2,Формовка,50,61,11
Хлеб «Тартин бездрожжевой»_batch_1,Остывание,54,114,60
Жайлы_batch_1,Формовка,55,66,11
Славянский_batch_1,Остывание,55,115,60
Семейный_batch_3,Остывание,57,117,60
Мини формовой_batch_3,Комбинирование,60,81,21
Плетенка_batch_1,Смешивание,60,70,10
Диета_batch_2,Расстойка,61,99,38
Отрубной (общий)_batch_2,Выпекание,61,78,17
Жайлы_batch_1,Расстойка,66,91,25
Формовой_batch_10,Смешивание,66,78,12
Формовой_batch_3,Комбинирование,66,87,21
Плетенка_batch_1,Формовка,70,81,11
Формовой_batch_15,Выпекание,72,117,45
Отрубной (общий)_batch_2,Остывание,78,138,60
Формовой_batch_10,Формовка,78,89,11
Мини формовой_batch_3,Смешивание,81,93,12
Плетенка_batch_1,Расстойка,81,106,25
Сэндвич_batch_9,Комбинирование,81,102,21
Формовой_batch_13,Комбинирование,87,108,21
Формовой_batch_3,Смешивание,87,99,12
Формовой_batch_10,Расстойка,89,114,25
Жайлы_batch_1,Выпекание,91,108,17
Мини формовой_batch_3,Формовка,93,104,11
Диета_batch_2,Выпекание,99,134,35
Формовой_batch_3,Формовка,99,110,11
Семейный_batch_1,Комбинирование,102,123,21
Сэндвич_batch_9,Смешивание,102,112,10
Мини формовой_batch_3,Расстойка,104,129,25
Плетенка_batch_1,Выпекание,106,123,17
Жайлы_batch_1,Остывание,108,168,60
Отрубной (общий)_batch_1,Комбинирование,108,129,21
Формовой_batch_13,Смешивание,108,120,12
Формовой_batch_3,Расстойка,110,135,25
Сэндвич_batch_9,Формовка,112,123,11
Формовой_batch_10,Выпекание,114,159,45
Формовой_batch_15,Остывание,117,207,90
Формовой_batch_13,Формовка,120,131,11
Плетенка_batch_1,Остывание,123,183,60
Семейный_batch_1,Смешивание,123,133,10
Сэндвич_batch_19,Комбинирование,123,137,14
Сэндвич_batch_9,Расстойка,123,148,25
Бородинский_batch_2,Комбинирование,129,150,21
Мини формовой_batch_3,Выпекание,129,174,45
Отрубной (общий)_batch_1,Смешивание,129,139,10
