Batch_ID,Stage,Start_Time_Min,End_Time_Min,Duration_Min,Assigned_Machine
Диета_batch_3,Остывание,220,310,90,
Формовой_batch_1,Смешивание,221,233,12,mixer_0
Формовой_batch_2,Комбинирование,221,242,21,combiner_1
Формовой_batch_21,Формовка,222,233,11,former_0
Формовой_batch_15,Расстойка,224,249,25,
Формовой_batch_8,Выпекание,227,272,45,
Мини формовой_batch_1,Остывание,230,320,90,
Формовой_batch_5,Смешивание,231,243,12,mixer_1
Формовой_batch_9,Комбинирование,231,252,21,combiner_0
Формовой_batch_1,Формовка,233,244,11,former_1
Формовой_batch_21,Расстойка,233,258,25,
Формовой_batch_20,Выпекание,238,283,45,
Формовой_batch_16,Остывание,241,331,90,
Мини формовой_batch_2,Комбинирование,242,263,21,combiner_1
Формовой_batch_2,Смешивание,242,254,12,mixer_2
Формовой_batch_5,Формовка,243,254,11,former_0
Формовой_batch_1,Расстойка,244,269,25,
Формовой_batch_15,Выпекание,249,294,45,
Мини формовой_batch_3,Остывание,252,342,90,
Формовой_batch_18,Комбинирование,252,273,21,combiner_0
Формовой_batch_9,Смешивание,252,264,12,mixer_0
Формовой_batch_2,Формовка,254,265,11,former_0
Формовой_batch_5,Расстойка,254,279,25,
Формовой_batch_21,Выпекание,258,303,45,
Мини формовой_batch_2,Смешивание,263,275,12,mixer_1
Формовой_batch_11,Остывание,263,353,90,
Формовой_batch_4,Комбинирование,263,284,21,combiner_1
Формовой_batch_9,Формовка,264,275,11,former_1
Формовой_batch_2,Расстойка,265,290,25,
Формовой_batch_1,Выпекание,269,314,45,
Формовой_batch_8,Остывание,272,362,90,
Формовой_batch_10,Комбинирование,273,294,21,combiner_0
Формовой_batch_18,Смешивание,273,285,12,mixer_0
Мини формовой_batch_2,Формовка,275,286,11,former_0
Формовой_batch_9,Расстойка,275,300,25,
Формовой_batch_5,Выпекание,279,324,45,
Формовой_batch_20,Остывание,283,373,90,
Багет новый_batch_2,Комбинирование,284,305,21,combiner_1
Формовой_batch_4,Смешивание,284,296,12,mixer_2
Мини формовой_batch_2,Расстойка,286,311,25,
Формовой_batch_18,Формовка,286,297,11,former_0
Формовой_batch_2,Выпекание,290,335,45,
Формовой_batch_12,Комбинирование,294,315,21,combiner_0
Формовой_batch_15,Остывание,294,384,90,
Формовой_batch_10,Смешивание,295,307,12,mixer_0
Формовой_batch_18,Расстойка,297,322,25,
Формовой_batch_4,Формовка,297,308,11,former_0
Формовой_batch_9,Выпекание,300,345,45,
Формовой_batch_21,Остывание,303,393,90,
Багет новый_batch_2,Смешивание,305,315,10,mixer_1
Формовой_batch_7,Комбинирование,305,326,21,combiner_1
Формовой_batch_10,Формовка,308,319,11,former_0
Формовой_batch_4,Расстойка,308,333,25,
Мини формовой_batch_2,Выпекание,311,356,45,
Формовой_batch_1,Остывание,314,404,90,
Багет новый_batch_2,Формовка,315,326,11,former_1
Формовой_batch_12,Смешивание,315,327,12,mixer_1
Формовой_batch_19,Комбинирование,315,336,21,combiner_0
Формовой_batch_10,Расстойка,319,344,25,
Формовой_batch_18,Выпекание,322,367,45,
Формовой_batch_5,Остывание,324,414,90,
Багет новый_batch_2,Расстойка,326,351,25,
Мини формовой_batch_4,Комбинирование,326,343,17,combiner_1
Формовой_batch_7,Смешивание,326,338,12,mixer_0
Формовой_batch_12,Формовка,327,338,11,former_1
Формовой_batch_4,Выпекание,333,378,45,
Формовой_batch_2,Остывание,335,425,90,
Формовой_batch_13,Комбинирование,336,357,21,combiner_0
Формовой_batch_19,Смешивание,336,348,12,mixer_1
Формовой_batch_12,Расстойка,338,363,25,
Формовой_batch_7,Формовка,338,349,11,former_1
Диета_batch_4,Комбинирование,343,352,9,combiner_1
Мини формовой_batch_4,Смешивание,343,355,12,mixer_0
Формовой_batch_10,Выпекание,344,389,45,
Формовой_batch_9,Остывание,345,435,90,
Формовой_batch_19,Формовка,348,359,11,former_0
Формовой_batch_7,Расстойка,349,374,25,
Багет новый_batch_2,Выпекание,351,376,25,
Хлеб «Зерновой»_batch_2,Комбинирование,352,365,13,combiner_1
Диета_batch_4,Смешивание,353,363,10,mixer_2
Мини формовой_batch_4,Формовка,355,364,9,former_1
Мини формовой_batch_2,Остывание,356,446,90,
Формовой_batch_13,Смешивание,357,369,12,mixer_0
Формовой_batch_17,Комбинирование,357,378,21,combiner_0
Формовой_batch_19,Расстойка,359,384,25,
Формовой_batch_12,Выпекание,363,408,45,
Диета_batch_4,Формовка,364,369,5,former_1
Мини формовой_batch_4,Расстойка,364,389,25,
Береке_batch_1,Комбинирование,365,386,21,combiner_1
Хлеб «Зерновой»_batch_2,Смешивание,365,375,10,mixer_1
Формовой_batch_18,Остывание,367,457,90,
Диета_batch_4,Расстойка,369,407,38,
Формовой_batch_13,Формовка,369,380,11,former_0
Формовой_batch_7,Выпекание,374,419,45,
Хлеб «Зерновой»_batch_2,Формовка,375,382,7,former_1
Багет новый_batch_2,Остывание,376,451,75,
Формовой_batch_17,Смешивание,378,390,12,mixer_2
Формовой_batch_22,Комбинирование,378,396,18,combiner_0
Формовой_batch_4,Остывание,378,468,90,
Формовой_batch_13,Расстойка,380,405,25,
Хлеб «Зерновой»_batch_2,Расстойка,382,407,25,
Формовой_batch_19,Выпекание,384,429,45,
Батон Нарезной_batch_3,Комбинирование,386,407,21,combiner_1
Береке_batch_1,Смешивание,386,396,10,mixer_0
Мини формовой_batch_4,Выпекание,389,434,45,
Формовой_batch_10,Остывание,389,479,90,
Формовой_batch_17,Формовка,390,401,11,former_0
Багет новый_batch_1,Комбинирование,396,417,21,combiner_0
Береке_batch_1,Формовка,396,407,11,former_1
Формовой_batch_22,Смешивание,396,408,12,mixer_2
Формовой_batch_17,Расстойка,401,426,25,
Формовой_batch_13,Выпекание,405,450,45,
Баварский Деревенский Ржаной_batch_1,Комбинирование,407,410,3,combiner_1
Береке_batch_1,Расстойка,407,427,20,
Хлеб «Зерновой»_batch_2,Выпекание,407,432,25,
Батон Нарезной_batch_3,Смешивание,408,418,10,mixer_2
Диета_batch_4,Выпекание,408,443,35,
Формовой_batch_12,Остывание,408,498,90,
