Batch_ID,Stage,Start_Time_Min,End_Time_Min,Duration_Min
Батон Верный_batch_40,Комбинирование,0,11,11
Батон Нарезной_batch_41,Комбинирование,0,21,21
Батон Верный_batch_40,Смешивание,11,21,10
Батон Нарезной_batch_42,Комбинирование,11,32,21
Багет новый_batch_37,Комбинирование,21,22,1
Батон Верный_batch_40,Формовка,21,27,6
Батон Нарезной_batch_41,Смешивание,21,31,10
Багет новый_batch_37,Смешивание,22,32,10
Багет отрубной_batch_38,Комбинирование,22,35,13
Батон Верный_batch_40,Расстойка,27,52,25
Батон Нарезной_batch_41,Формовка,31,42,11
Багет новый_batch_37,Формовка,32,33,1
Батон Нарезной_batch_42,Смешивание,32,42,10
Премиум_batch_39,Комбинирование,32,36,4
Багет новый_batch_37,Расстойка,33,58,25
Багет отрубной_batch_38,Смешивание,35,45,10
Батон Нарезной_batch_43,Комбинирование,35,56,21
Батон Нарезной_batch_44,Комбинирование,36,44,8
Премиум_batch_39,Смешивание,36,46,10
Батон Нарезной_batch_41,Расстойка,42,67,25
Батон Нарезной_batch_42,Формовка,42,53,11
Батон Нарезной_batch_44,Смешивание,44,54,10
Береке_batch_45,Комбинирование,44,65,21
Багет отрубной_batch_38,Формовка,45,52,7
Багет отрубной_batch_38,Расстойка,52,77,25
Батон Верный_batch_40,Выпекание,52,69,17
Премиум_batch_39,Формовка,52,54,2
Батон Нарезной_batch_42,Расстойка,53,78,25
Батон Нарезной_batch_44,Формовка,54,58,4
Премиум_batch_39,Расстойка,54,79,25
Батон Нарезной_batch_43,Смешивание,56,66,10
Береке_batch_46,Комбинирование,56,71,15
Багет новый_batch_37,Выпекание,58,83,25
Батон Нарезной_batch_44,Расстойка,58,83,25
Береке_batch_45,Смешивание,65,75,10
Жайлы_batch_47,Комбинирование,65,86,21
Батон Нарезной_batch_43,Формовка,66,77,11
Батон Нарезной_batch_41,Выпекание,67,84,17
Батон Верный_batch_40,Остывание,69,129,60
Береке_batch_46,Смешивание,71,81,10
Жайлы_batch_48,Комбинирование,71,85,14
Береке_batch_45,Формовка,75,86,11
Багет отрубной_batch_38,Выпекание,77,95,18
Батон Нарезной_batch_43,Расстойка,77,102,25
Батон Нарезной_batch_42,Выпекание,78,95,17
Премиум_batch_39,Выпекание,79,104,25
Береке_batch_46,Формовка,81,89,8
Багет новый_batch_37,Остывание,83,158,75
Батон Нарезной_batch_44,Выпекание,83,100,17
Батон Нарезной_batch_41,Остывание,84,144,60
Датский_batch_49,Комбинирование,85,92,7
Жайлы_batch_48,Смешивание,85,95,10
Баварский Деревенский Ржаной_batch_50,Комбинирование,86,89,3
Береке_batch_45,Расстойка,86,106,20
Жайлы_batch_47,Смешивание,86,96,10
Баварский Деревенский Ржаной_batch_50,Смешивание,89,99,10
Береке_batch_46,Расстойка,89,109,20
Диета_batch_51,Комбинирование,89,110,21
Диета_batch_52,Комбинирование,92,113,21
Багет отрубной_batch_38,Остывание,95,140,45
Батон Нарезной_batch_42,Остывание,95,155,60
Датский_batch_49,Смешивание,95,105,10
Жайлы_batch_48,Формовка,95,103,8
Жайлы_batch_47,Формовка,96,107,11
Батон Нарезной_batch_44,Остывание,100,160,60
Батон Нарезной_batch_43,Выпекание,102,119,17
Баварский Деревенский Ржаной_batch_50,Формовка,103,105,2
Жайлы_batch_48,Расстойка,103,128,25
Премиум_batch_39,Остывание,104,179,75
Баварский Деревенский Ржаной_batch_50,Расстойка,105,135,30
Датский_batch_49,Формовка,105,109,4
Береке_batch_45,Выпекание,106,122,16
Жайлы_batch_47,Расстойка,107,132,25
Береке_batch_46,Выпекание,109,125,16
Датский_batch_49,Расстойка,109,134,25
Диета_batch_51,Смешивание,110,120,10
Диета_batch_53,Комбинирование,110,131,21
Диета_batch_52,Смешивание,113,123,10
Диета_batch_54,Комбинирование,113,122,9
Батон Нарезной_batch_43,Остывание,119,179,60
Диета_batch_51,Формовка,120,131,11
Береке_batch_45,Остывание,122,182,60
Диета_batch_54,Смешивание,122,132,10
Здоровье_batch_55,Комбинирование,122,126,4
Диета_batch_52,Формовка,123,134,11
Береке_batch_46,Остывание,125,185,60
Здоровье_batch_55,Смешивание,126,136,10
Семейный_batch_56,Комбинирование,126,147,21
Жайлы_batch_48,Выпекание,128,145,17
Диета_batch_51,Расстойка,131,169,38
Диета_batch_53,Смешивание,131,141,10
Семейный_batch_57,Комбинирование,131,152,21
Диета_batch_54,Формовка,132,137,5
Жайлы_batch_47,Выпекание,132,149,17
Датский_batch_49,Выпекание,134,151,17
Диета_batch_52,Расстойка,134,172,38
Баварский Деревенский Ржаной_batch_50,Выпекание,135,153,18
Здоровье_batch_55,Формовка,136,138,2
Диета_batch_54,Расстойка,137,175,38
Здоровье_batch_55,Расстойка,138,163,25
