Batch_ID,Product,Stage,Start_Time_Min,End_Time_Min,Duration_Min
Булочка для гамбургера большой с кунжутом_batch_1,Булочка для гамбургера большой с кунжутом,Расстойка,159,184,25
Семейный_batch_3,Семейный,Комбинирование,159,180,21
Хлеб «Зерновой»_batch_1,Хлеб «Зерновой»,Смешивание,159,169,10
Багет новый_batch_1,Багет новый,Комбинирование,162,183,21
Сэндвич_batch_8,Сэндвич,Расстойка,162,187,25
Формовой_batch_12,Формовой,Смешивание,162,174,12
Сэндвич_batch_6,Сэндвич,Выпекание,163,185,22
Сэндвич_batch_4,Сэндвич,Выпекание,166,188,22
Хлеб «Зерновой»_batch_1,Хлеб «Зерновой»,Формовка,169,180,11
Бородинский_batch_5,Бородинский,Остывание,171,291,120
Формовой_batch_12,Формовой,Формовка,174,185,11
Семейный_batch_3,Семейный,Смешивание,180,190,10
Формовой_batch_11,Формовой,Комбинирование,180,201,21
Хлеб «Зерновой»_batch_1,Хлеб «Зерновой»,Расстойка,180,205,25
Багет новый_batch_1,Багет новый,Смешивание,183,193,10
Булочка для гамбургера большой с кунжутом_batch_3,Булочка для гамбургера большой с кунжутом,Комбинирование,183,204,21
Булочка для гамбургера большой с кунжутом_batch_1,Булочка для гамбургера большой с кунжутом,Выпекание,184,206,22
Сэндвич_batch_6,Сэндвич,Остывание,185,230,45
Формовой_batch_12,Формовой,Расстойка,185,210,25
Сэндвич_batch_8,Сэндвич,Выпекание,187,209,22
Сэндвич_batch_4,Сэндвич,Остывание,188,233,45
Формовой_batch_14,Формовой,Остывание,189,279,90
Семейный_batch_3,Семейный,Формовка,190,201,11
Формовой_batch_10,Формовой,Остывание,192,282,90
Багет новый_batch_1,Багет новый,Формовка,193,204,11
Мини формовой_batch_3,Мини формовой,Комбинирование,201,222,21
Семейный_batch_3,Семейный,Расстойка,201,226,25
Формовой_batch_11,Формовой,Смешивание,201,213,12
Багет новый_batch_1,Багет новый,Расстойка,204,229,25
Булочка для гамбургера большой с кунжутом_batch_3,Булочка для гамбургера большой с кунжутом,Смешивание,204,214,10
Булочка для гамбургера большой с кунжутом_batch_6,Булочка для гамбургера большой с кунжутом,Комбинирование,204,225,21
Хлеб «Зерновой»_batch_1,Хлеб «Зерновой»,Выпекание,205,230,25
Булочка для гамбургера большой с кунжутом_batch_1,Булочка для гамбургера большой с кунжутом,Остывание,206,251,45
Сэндвич_batch_8,Сэндвич,Остывание,209,254,45
Формовой_batch_12,Формовой,Выпекание,210,255,45
Формовой_batch_11,Формовой,Формовка,213,224,11
Булочка для гамбургера большой с кунжутом_batch_3,Булочка для гамбургера большой с кунжутом,Формовка,214,225,11
Бородинский_batch_6,Бородинский,Комбинирование,222,233,11
Мини формовой_batch_3,Мини формовой,Смешивание,222,234,12
Формовой_batch_11,Формовой,Расстойка,224,249,25
Булочка для гамбургера большой с кунжутом_batch_3,Булочка для гамбургера большой с кунжутом,Расстойка,225,250,25
Булочка для гамбургера большой с кунжутом_batch_6,Булочка для гамбургера большой с кунжутом,Смешивание,225,235,10
Формовой_batch_19,Формовой,Комбинирование,225,246,21
Семейный_batch_3,Семейный,Выпекание,226,243,17
Багет новый_batch_1,Багет новый,Выпекание,229,254,25
Хлеб «Зерновой»_batch_1,Хлеб «Зерновой»,Остывание,230,305,75
Бородинский_batch_6,Бородинский,Смешивание,233,243,10
Формовой_batch_4,Формовой,Комбинирование,233,254,21
Мини формовой_batch_3,Мини формовой,Формовка,234,245,11
Булочка для гамбургера большой с кунжутом_batch_6,Булочка для гамбургера большой с кунжутом,Формовка,235,246,11
Семейный_batch_3,Семейный,Остывание,243,303,60
Бородинский_batch_6,Бородинский,Формовка,245,251,6
Мини формовой_batch_3,Мини формовой,Расстойка,245,270,25
Булочка для гамбургера большой с кунжутом_batch_10,Булочка для гамбургера большой с кунжутом,Комбинирование,246,267,21
Булочка для гамбургера большой с кунжутом_batch_6,Булочка для гамбургера большой с кунжутом,Расстойка,246,271,25
Формовой_batch_19,Формовой,Смешивание,246,258,12
Формовой_batch_11,Формовой,Выпекание,249,294,45
Булочка для гамбургера большой с кунжутом_batch_3,Булочка для гамбургера большой с кунжутом,Выпекание,250,272,22
Бородинский_batch_6,Бородинский,Расстойка,251,271,20
Багет новый_batch_1,Багет новый,Остывание,254,329,75
Формовой_batch_16,Формовой,Комбинирование,254,275,21
Формовой_batch_4,Формовой,Смешивание,254,266,12
Формовой_batch_12,Формовой,Остывание,255,345,90
Формовой_batch_19,Формовой,Формовка,258,269,11
Формовой_batch_4,Формовой,Формовка,266,277,11
Булочка для гамбургера большой с кунжутом_batch_10,Булочка для гамбургера большой с кунжутом,Смешивание,267,277,10
Булочка для гамбургера большой с кунжутом_batch_9,Булочка для гамбургера большой с кунжутом,Комбинирование,267,288,21
Формовой_batch_19,Формовой,Расстойка,269,294,25
Мини формовой_batch_3,Мини формовой,Выпекание,270,315,45
Бородинский_batch_6,Бородинский,Выпекание,271,326,55
Булочка для гамбургера большой с кунжутом_batch_6,Булочка для гамбургера большой с кунжутом,Выпекание,271,293,22
Булочка для гамбургера большой с кунжутом_batch_3,Булочка для гамбургера большой с кунжутом,Остывание,272,317,45
Плетенка_batch_1,Плетенка,Комбинирование,275,296,21
Формовой_batch_16,Формовой,Смешивание,275,287,12
Булочка для гамбургера большой с кунжутом_batch_10,Булочка для гамбургера большой с кунжутом,Формовка,277,288,11
Формовой_batch_4,Формовой,Расстойка,277,302,25
Формовой_batch_16,Формовой,Формовка,287,298,11
Булочка для гамбургера большой с кунжутом_batch_10,Булочка для гамбургера большой с кунжутом,Расстойка,288,313,25
Булочка для гамбургера большой с кунжутом_batch_9,Булочка для гамбургера большой с кунжутом,Смешивание,288,298,10
Премиум_batch_1,Премиум,Комбинирование,288,292,4
Жайлы_batch_2,Жайлы,Комбинирование,292,306,14
Премиум_batch_1,Премиум,Смешивание,292,302,10
Булочка для гамбургера большой с кунжутом_batch_6,Булочка для гамбургера большой с кунжутом,Остывание,293,338,45
Формовой_batch_11,Формовой,Остывание,294,384,90
Формовой_batch_19,Формовой,Выпекание,294,339,45
Булочка для гамбургера большой с кунжутом_batch_7,Булочка для гамбургера большой с кунжутом,Комбинирование,296,317,21
Плетенка_batch_1,Плетенка,Смешивание,296,306,10
Булочка для гамбургера большой с кунжутом_batch_9,Булочка для гамбургера большой с кунжутом,Формовка,298,309,11
Формовой_batch_16,Формовой,Расстойка,298,323,25
Формовой_batch_4,Формовой,Выпекание,302,347,45
Жайлы_batch_2,Жайлы,Смешивание,306,316,10
Плетенка_batch_1,Плетенка,Формовка,306,317,11
Сэндвич_batch_2,Сэндвич,Комбинирование,306,327,21
Булочка для гамбургера большой с кунжутом_batch_9,Булочка для гамбургера большой с кунжутом,Расстойка,309,334,25
Премиум_batch_1,Премиум,Формовка,309,311,2
Премиум_batch_1,Премиум,Расстойка,311,336,25
Булочка для гамбургера большой с кунжутом_batch_10,Булочка для гамбургера большой с кунжутом,Выпекание,313,335,22
Мини формовой_batch_3,Мини формовой,Остывание,315,405,90
Жайлы_batch_2,Жайлы,Формовка,316,324,8
Батон Нарезной_batch_3,Батон Нарезной,Комбинирование,317,338,21
Булочка для гамбургера большой с кунжутом_batch_7,Булочка для гамбургера большой с кунжутом,Смешивание,317,327,10
Плетенка_batch_1,Плетенка,Расстойка,317,342,25
Формовой_batch_16,Формовой,Выпекание,323,368,45
Жайлы_batch_2,Жайлы,Расстойка,324,349,25
Бородинский_batch_6,Бородинский,Остывание,326,446,120
Багет отрубной_batch_1,Багет отрубной,Комбинирование,327,340,13
Булочка для гамбургера большой с кунжутом_batch_7,Булочка для гамбургера большой с кунжутом,Формовка,327,338,11
Сэндвич_batch_2,Сэндвич,Смешивание,327,337,10
Булочка для гамбургера большой с кунжутом_batch_9,Булочка для гамбургера большой с кунжутом,Выпекание,334,356,22
Булочка для гамбургера большой с кунжутом_batch_10,Булочка для гамбургера большой с кунжутом,Остывание,335,380,45
Премиум_batch_1,Премиум,Выпекание,336,361,25
Сэндвич_batch_2,Сэндвич,Формовка,337,348,11
Батон Нарезной_batch_3,Батон Нарезной,Смешивание,338,348,10
Булочка для гамбургера большой с кунжутом_batch_7,Булочка для гамбургера большой с кунжутом,Расстойка,338,363,25
Хлеб «Тартин бездрожжевой»_batch_1,Хлеб «Тартин бездрожжевой»,Комбинирование,338,341,3
Формовой_batch_19,Формовой,Остывание,339,429,90
Багет отрубной_batch_1,Багет отрубной,Смешивание,340,350,10
Формовой_batch_2,Формовой,Комбинирование,340,361,21
Сэндвич_batch_9,Сэндвич,Комбинирование,341,362,21
Хлеб «Тартин бездрожжевой»_batch_1,Хлеб «Тартин бездрожжевой»,Смешивание,341,351,10
Плетенка_batch_1,Плетенка,Выпекание,342,359,17
Формовой_batch_4,Формовой,Остывание,347,437,90
Батон Нарезной_batch_3,Батон Нарезной,Формовка,348,359,11
Сэндвич_batch_2,Сэндвич,Расстойка,348,373,25
Жайлы_batch_2,Жайлы,Выпекание,349,366,17
Багет отрубной_batch_1,Багет отрубной,Формовка,350,357,7
Булочка для гамбургера большой с кунжутом_batch_9,Булочка для гамбургера большой с кунжутом,Остывание,356,401,45
Багет отрубной_batch_1,Багет отрубной,Расстойка,357,382,25
Хлеб «Тартин бездрожжевой»_batch_1,Хлеб «Тартин бездрожжевой»,Формовка,357,359,2
Батон Нарезной_batch_3,Батон Нарезной,Расстойка,359,384,25
Плетенка_batch_1,Плетенка,Остывание,359,419,60
Хлеб «Тартин бездрожжевой»_batch_1,Хлеб «Тартин бездрожжевой»,Расстойка,359,379,20
Диета_batch_1,Диета,Комбинирование,361,382,21
Премиум_batch_1,Премиум,Остывание,361,436,75
Формовой_batch_2,Формовой,Смешивание,361,373,12
Сэндвич_batch_13,Сэндвич,Комбинирование,362,383,21
Сэндвич_batch_9,Сэндвич,Смешивание,362,372,10
Булочка для гамбургера большой с кунжутом_batch_7,Булочка для гамбургера большой с кунжутом,Выпекание,363,385,22
Жайлы_batch_2,Жайлы,Остывание,366,426,60
Формовой_batch_16,Формовой,Остывание,368,458,90
Сэндвич_batch_9,Сэндвич,Формовка,372,383,11
Сэндвич_batch_2,Сэндвич,Выпекание,373,395,22
Формовой_batch_2,Формовой,Формовка,373,384,11
Хлеб «Тартин бездрожжевой»_batch_1,Хлеб «Тартин бездрожжевой»,Выпекание,379,395,16
Багет отрубной_batch_1,Багет отрубной,Выпекание,382,400,18
Диета_batch_1,Диета,Смешивание,382,392,10
Формовой_batch_3,Формовой,Комбинирование,382,403,21
Батон Нарезной_batch_4,Батон Нарезной,Комбинирование,383,391,8
Сэндвич_batch_13,Сэндвич,Смешивание,383,393,10
Сэндвич_batch_9,Сэндвич,Расстойка,383,408,25
