Batch_ID,Stage,Start_Time_Min,End_Time_Min,Duration_Min
Багет новый_batch_4,Комбинирование,0,1,1
Немецкий хлеб_batch_1,Комбинирование,0,2,2
Багет новый_batch_4,Смешивание,1,11,10
Формовой_batch_17,Комбинирование,1,22,21
Диета_batch_2,Комбинирование,2,23,21
Немецкий хлеб_batch_1,Смешивание,2,12,10
Багет новый_batch_4,Формовка,11,12,1
Багет новый_batch_4,Расстойка,12,37,25
Немецкий хлеб_batch_1,Формовка,12,13,1
Немецкий хлеб_batch_1,Расстойка,13,38,25
Формовой_batch_11,Комбинирование,22,43,21
Формовой_batch_17,Смешивание,22,34,12
Диета_batch_2,Смешивание,23,33,10
Хлеб «Зерновой»_batch_2,Комбинирование,23,36,13
Диета_batch_2,Формовка,33,44,11
Формовой_batch_17,Формовка,34,45,11
Семейный_batch_3,Комбинирование,36,57,21
Хлеб «Зерновой»_batch_2,Смешивание,36,46,10
Багет новый_batch_4,Выпекание,37,62,25
Немецкий хлеб_batch_1,Выпекание,38,63,25
Формовой_batch_11,Смешивание,43,55,12
Формовой_batch_3,Комбинирование,43,64,21
Диета_batch_2,Расстойка,44,82,38
Формовой_batch_17,Расстойка,45,70,25
Хлеб «Зерновой»_batch_2,Формовка,46,53,7
Хлеб «Зерновой»_batch_2,Расстойка,53,78,25
Формовой_batch_11,Формовка,55,66,11
Мини формовой_batch_4,Комбинирование,57,74,17
Семейный_batch_3,Смешивание,57,67,10
Багет новый_batch_4,Остывание,62,137,75
Немецкий хлеб_batch_1,Остывание,63,138,75
Булочка для гамбургера большой с кунжутом_batch_9,Комбинирование,64,85,21
Формовой_batch_3,Смешивание,64,76,12
Формовой_batch_11,Расстойка,66,91,25
Семейный_batch_3,Формовка,67,78,11
Формовой_batch_17,Выпекание,70,115,45
Бородинский_batch_3,Комбинирование,74,95,21
Мини формовой_batch_4,Смешивание,74,86,12
Формовой_batch_3,Формовка,76,87,11
Семейный_batch_3,Расстойка,78,103,25
Хлеб «Зерновой»_batch_2,Выпекание,78,103,25
Диета_batch_2,Выпекание,82,117,35
