Batch_ID,Stage,Start_Time_Min,End_Time_Min,Duration_Min
Булочка для хотдога штучно_batch_14,Комбинирование,0,21,21
Булочка для хотдога штучно_batch_15,Комбинирование,0,8,8
Булочка для хотдога штучно_batch_15,Смешивание,8,18,10
Датский_batch_16,Комбинирование,8,16,8
Датский_batch_16,Смешивание,16,26,10
Диета_batch_17,Комбинирование,16,37,21
Булочка для хотдога штучно_batch_15,Формовка,18,22,4
Булочка для хотдога штучно_batch_14,Смешивание,21,31,10
Диета_batch_18,Комбинирование,21,42,21
Булочка для хотдога штучно_batch_15,Расстойка,22,47,25
Датский_batch_16,Формовка,26,31,5
Булочка для хотдога штучно_batch_14,Формовка,31,42,11
Датский_batch_16,Расстойка,31,56,25
Диета_batch_17,Смешивание,37,47,10
Диета_batch_19,Комбинирование,37,55,18
Булочка для хотдога штучно_batch_14,Расстойка,42,67,25
Диета_batch_18,Смешивание,42,52,10
Домашний_batch_20,Комбинирование,42,44,2
Домашний_batch_20,Смешивание,44,54,10
Жайлы_batch_21,Комбинирование,44,65,21
Булочка для хотдога штучно_batch_15,Выпекание,47,69,22
Диета_batch_17,Формовка,47,58,11
Диета_batch_18,Формовка,52,63,11
Диета_batch_19,Смешивание,55,65,10
Жайлы_batch_22,Комбинирование,55,64,9
Датский_batch_16,Выпекание,56,73,17
Диета_batch_17,Расстойка,58,96,38
Домашний_batch_20,Формовка,58,59,1
Домашний_batch_20,Расстойка,59,84,25
Диета_batch_18,Расстойка,63,101,38
Жайлы_batch_22,Смешивание,64,74,10
Здоровье_batch_23,Комбинирование,64,68,4
Диета_batch_19,Формовка,65,75,10
Жайлы_batch_21,Смешивание,65,75,10
Любимый_batch_24,Комбинирование,65,86,21
Булочка для хотдога штучно_batch_14,Выпекание,67,89,22
Здоровье_batch_23,Смешивание,68,78,10
Любимый_batch_25,Комбинирование,68,89,21
Булочка для хотдога штучно_batch_15,Остывание,69,114,45
Датский_batch_16,Остывание,73,133,60
Жайлы_batch_22,Формовка,74,79,5
Диета_batch_19,Расстойка,75,113,38
Жайлы_batch_21,Формовка,75,86,11
Жайлы_batch_22,Расстойка,79,104,25
Здоровье_batch_23,Формовка,79,81,2
Здоровье_batch_23,Расстойка,81,106,25
Домашний_batch_20,Выпекание,84,101,17
Жайлы_batch_21,Расстойка,86,111,25
Любимый_batch_24,Смешивание,86,96,10
Любимый_batch_26,Комбинирование,86,107,21
Булочка для хотдога штучно_batch_14,Остывание,89,134,45
Любимый_batch_25,Смешивание,89,99,10
Любимый_batch_27,Комбинирование,89,110,21
Диета_batch_17,Выпекание,96,131,35
Любимый_batch_24,Формовка,96,107,11
Любимый_batch_25,Формовка,99,110,11
Диета_batch_18,Выпекание,101,136,35
Домашний_batch_20,Остывание,101,161,60
Жайлы_batch_22,Выпекание,104,121,17
Здоровье_batch_23,Выпекание,106,124,18
Любимый_batch_24,Расстойка,107,132,25
Любимый_batch_26,Смешивание,107,117,10
Любимый_batch_28,Комбинирование,107,128,21
Любимый_batch_25,Расстойка,110,135,25
Любимый_batch_27,Смешивание,110,120,10
Любимый_batch_29,Комбинирование,110,131,21
Жайлы_batch_21,Выпекание,111,128,17
Диета_batch_19,Выпекание,113,148,35
Любимый_batch_26,Формовка,117,128,11
Любимый_batch_27,Формовка,120,131,11
Жайлы_batch_22,Остывание,121,181,60
Здоровье_batch_23,Остывание,124,184,60
Жайлы_batch_21,Остывание,128,188,60
Любимый_batch_26,Расстойка,128,153,25
Любимый_batch_28,Смешивание,128,138,10
Любимый_batch_30,Комбинирование,128,149,21
Диета_batch_17,Остывание,131,221,90
Любимый_batch_27,Расстойка,131,156,25
Любимый_batch_29,Смешивание,131,141,10
Любимый_batch_31,Комбинирование,131,152,21
Любимый_batch_24,Выпекание,132,149,17
Любимый_batch_25,Выпекание,135,152,17
Диета_batch_18,Остывание,136,226,90
Любимый_batch_28,Формовка,138,149,11
Любимый_batch_29,Формовка,141,152,11
Диета_batch_19,Остывание,148,238,90
Любимый_batch_24,Остывание,149,209,60
Любимый_batch_28,Расстойка,149,174,25
Любимый_batch_30,Смешивание,149,159,10
Отрубной (общий)_batch_32,Комбинирование,149,170,21
Любимый_batch_25,Остывание,152,212,60
Любимый_batch_29,Расстойка,152,177,25
Любимый_batch_31,Смешивание,152,162,10
Отрубной (общий)_batch_33,Комбинирование,152,173,21
Любимый_batch_26,Выпекание,153,170,17
Любимый_batch_27,Выпекание,156,173,17
Любимый_batch_30,Формовка,159,170,11
Любимый_batch_31,Формовка,162,173,11
Батон Нарезной_batch_6,Комбинирование,170,191,21
Любимый_batch_26,Остывание,170,230,60
Любимый_batch_30,Расстойка,170,195,25
Отрубной (общий)_batch_32,Смешивание,170,180,10
Любимый_batch_27,Остывание,173,233,60
Любимый_batch_31,Расстойка,173,198,25
Отрубной (общий)_batch_33,Смешивание,173,183,10
Плетенка_batch_35,Комбинирование,173,194,21
Любимый_batch_28,Выпекание,174,191,17
Любимый_batch_29,Выпекание,177,194,17
Отрубной (общий)_batch_32,Формовка,180,191,11
Отрубной (общий)_batch_33,Формовка,183,194,11
Батон Нарезной_batch_6,Смешивание,191,201,10
Любимый_batch_28,Остывание,191,251,60
Отрубной (общий)_batch_32,Расстойка,191,216,25
Плетенка_batch_36,Комбинирование,191,195,4
Любимый_batch_29,Остывание,194,254,60
Отрубной (общий)_batch_33,Расстойка,194,219,25
Плетенка_batch_35,Смешивание,194,204,10
Семейный_batch_37,Комбинирование,194,215,21
Любимый_batch_30,Выпекание,195,212,17
Плетенка_batch_36,Смешивание,195,205,10
Семейный_batch_38,Комбинирование,195,216,21
Любимый_batch_31,Выпекание,198,215,17
Батон Нарезной_batch_6,Формовка,201,212,11
Плетенка_batch_35,Формовка,204,215,11
Батон Нарезной_batch_6,Расстойка,212,237,25
Любимый_batch_30,Остывание,212,272,60
Плетенка_batch_36,Формовка,212,214,2
Плетенка_batch_36,Расстойка,214,239,25
Любимый_batch_31,Остывание,215,275,60
Плетенка_batch_35,Расстойка,215,240,25
Семейный_batch_37,Смешивание,215,225,10
Семейный_batch_39,Комбинирование,215,229,14
Отрубной (общий)_batch_32,Выпекание,216,233,17
Семейный_batch_38,Смешивание,216,226,10
Славянский_batch_40,Комбинирование,216,218,2
Зерновой Столичный_batch_41,Комбинирование,218,222,4
Славянский_batch_40,Смешивание,218,228,10
Отрубной (общий)_batch_33,Выпекание,219,236,17
Сэндвич_batch_42,Комбинирование,222,243,21
Зерновой Столичный_batch_41,Смешивание,225,235,10
