Batch_ID,Stage,Start_Time_Min,End_Time_Min,Duration_Min
Батон Верный_batch_1,Комбинирование,0,9,9
Сэндвич_batch_34,Комбинирование,0,21,21
Батон Верный_batch_1,Смешивание,9,19,10
Формовой_batch_5,Комбинирование,9,30,21
Батон Верный_batch_1,Формовка,19,24,5
Булочка для гамбургера большой с кунжутом_batch_1,Комбинирование,21,42,21
Сэндвич_batch_34,Смешивание,22,32,10
Батон Верный_batch_1,Расстойка,28,53,25
Формовой_batch_5,Смешивание,30,42,12
Хлеб «Тартин бездрожжевой»_batch_1,Комбинирование,30,33,3
Сэндвич_batch_34,Формовка,32,43,11
Сэндвич_batch_2,Комбинирование,33,54,21
Хлеб «Тартин бездрожжевой»_batch_1,Смешивание,33,43,10
Булочка для гамбургера большой с кунжутом_batch_1,Смешивание,42,52,10
Формовой_batch_2,Комбинирование,42,63,21
Формовой_batch_5,Формовка,42,53,11
Хлеб «Тартин бездрожжевой»_batch_1,Формовка,43,45,2
Сэндвич_batch_34,Расстойка,45,70,25
Хлеб «Тартин бездрожжевой»_batch_1,Расстойка,45,65,20
Булочка для гамбургера большой с кунжутом_batch_1,Формовка,52,63,11
Батон Верный_batch_1,Выпекание,53,70,17
Булочка для гамбургера большой с кунжутом_batch_2,Комбинирование,54,75,21
Сэндвич_batch_2,Смешивание,54,64,10
Формовой_batch_5,Расстойка,57,82,25
Булочка для гамбургера большой с кунжутом_batch_1,Расстойка,63,88,25
Любимый_batch_1,Комбинирование,63,84,21
Формовой_batch_2,Смешивание,63,75,12
Сэндвич_batch_2,Формовка,65,76,11
Хлеб «Тартин бездрожжевой»_batch_1,Выпекание,65,81,16
Батон Верный_batch_1,Остывание,70,130,60
Сэндвич_batch_34,Выпекание,70,92,22
Булочка для гамбургера большой с кунжутом_batch_2,Смешивание,75,85,10
Сэндвич_batch_3,Комбинирование,75,96,21
Формовой_batch_2,Формовка,75,86,11
Сэндвич_batch_2,Расстойка,76,101,25
Хлеб «Тартин бездрожжевой»_batch_1,Остывание,81,141,60
Формовой_batch_5,Выпекание,82,127,45
Булочка для гамбургера большой с кунжутом_batch_3,Комбинирование,84,105,21
Любимый_batch_1,Смешивание,84,94,10
Булочка для гамбургера большой с кунжутом_batch_2,Формовка,85,96,11
Формовой_batch_2,Расстойка,86,111,25
Булочка для гамбургера большой с кунжутом_batch_1,Выпекание,88,110,22
Любимый_batch_1,Формовка,94,105,11
Сэндвич_batch_3,Смешивание,96,106,10
Формовой_batch_3,Комбинирование,96,117,21
Булочка для гамбургера большой с кунжутом_batch_2,Расстойка,97,122,25
Сэндвич_batch_2,Выпекание,101,123,22
Бородинский_batch_1,Комбинирование,105,126,21
Любимый_batch_1,Расстойка,105,130,25
Булочка для гамбургера большой с кунжутом_batch_3,Смешивание,106,116,10
Сэндвич_batch_3,Формовка,106,117,11
Булочка для гамбургера большой с кунжутом_batch_1,Остывание,110,155,45
Формовой_batch_2,Выпекание,111,156,45
Булочка для гамбургера большой с кунжутом_batch_3,Формовка,116,127,11
Сэндвич_batch_3,Расстойка,117,142,25
Сэндвич_batch_6,Комбинирование,117,138,21
Формовой_batch_3,Смешивание,117,129,12
Булочка для гамбургера большой с кунжутом_batch_2,Выпекание,122,144,22
Сэндвич_batch_2,Остывание,123,168,45
Бородинский_batch_1,Смешивание,126,136,10
Формовой_batch_1,Комбинирование,126,147,21
Формовой_batch_5,Остывание,127,217,90
Булочка для гамбургера большой с кунжутом_batch_3,Расстойка,128,153,25
Формовой_batch_3,Формовка,129,140,11
Любимый_batch_1,Выпекание,130,147,17
Бородинский_batch_1,Формовка,136,147,11
Булочка для гамбургера большой с кунжутом_batch_6,Комбинирование,138,159,21
Сэндвич_batch_6,Смешивание,138,148,10
Сэндвич_batch_3,Выпекание,142,164,22
Формовой_batch_3,Расстойка,143,168,25
Булочка для гамбургера большой с кунжутом_batch_2,Остывание,144,189,45
Бородинский_batch_1,Расстойка,147,167,20
Любимый_batch_1,Остывание,147,207,60
Сэндвич_batch_4,Комбинирование,147,168,21
Формовой_batch_1,Смешивание,147,159,12
Сэндвич_batch_6,Формовка,148,159,11
Булочка для гамбургера большой с кунжутом_batch_3,Выпекание,153,175,22
Формовой_batch_2,Остывание,156,246,90
Булочка для гамбургера большой с кунжутом_batch_6,Смешивание,159,169,10
Сэндвич_batch_6,Расстойка,159,184,25
Формовой_batch_1,Формовка,159,170,11
Формовой_batch_4,Комбинирование,159,180,21
Сэндвич_batch_3,Остывание,164,209,45
Бородинский_batch_1,Выпекание,167,222,55
Булочка для гамбургера большой с кунжутом_batch_7,Комбинирование,168,189,21
Сэндвич_batch_4,Смешивание,168,178,10
Формовой_batch_3,Выпекание,168,213,45
Булочка для гамбургера большой с кунжутом_batch_6,Формовка,169,180,11
Формовой_batch_1,Расстойка,170,195,25
Булочка для гамбургера большой с кунжутом_batch_3,Остывание,175,220,45
Сэндвич_batch_4,Формовка,178,189,11
Булочка для гамбургера большой с кунжутом_batch_6,Расстойка,180,205,25
Сэндвич_batch_7,Комбинирование,180,201,21
Формовой_batch_4,Смешивание,180,192,12
Сэндвич_batch_6,Выпекание,184,206,22
Булочка для гамбургера большой с кунжутом_batch_7,Смешивание,189,199,10
Сэндвич_batch_4,Расстойка,189,214,25
Формовой_batch_6,Комбинирование,189,210,21
Формовой_batch_4,Формовка,192,203,11
Формовой_batch_1,Выпекание,195,240,45
Булочка для гамбургера большой с кунжутом_batch_7,Формовка,199,210,11
Булочка для гамбургера большой с кунжутом_batch_5,Комбинирование,201,222,21
Сэндвич_batch_7,Смешивание,201,211,10
Формовой_batch_4,Расстойка,203,228,25
Булочка для гамбургера большой с кунжутом_batch_6,Выпекание,205,227,22
Сэндвич_batch_6,Остывание,206,251,45
Булочка для гамбургера большой с кунжутом_batch_7,Расстойка,210,235,25
Сэндвич_batch_5,Комбинирование,210,231,21
Формовой_batch_6,Смешивание,210,222,12
Сэндвич_batch_7,Формовка,211,222,11
Сэндвич_batch_4,Выпекание,214,236,22
Бородинский_batch_1,Остывание,222,342,120
Бородинский_batch_4,Комбинирование,222,243,21
Булочка для гамбургера большой с кунжутом_batch_5,Смешивание,222,232,10
Сэндвич_batch_7,Расстойка,222,247,25
Формовой_batch_6,Формовка,222,233,11
Формовой_batch_3,Остывание,224,314,90
Булочка для гамбургера большой с кунжутом_batch_6,Остывание,227,272,45
