Batch_ID,Stage,Start_Time_Min,End_Time_Min,Duration_Min
Багет новый_batch_3,Комбинирование,0,6,6
Домашний_batch_1,Комбинирование,0,2,2
Домашний_batch_1,Смешивание,2,12,10
Хлеб «Тартин бездрожжевой»_batch_1,Комбинирование,2,5,3
Формовой_batch_21,Комбинирование,5,26,21
Хлеб «Тартин бездрожжевой»_batch_1,Смешивание,5,15,10
Багет новый_batch_3,Смешивание,6,16,10
Булочка для гамбургера большой с кунжутом_batch_11,Комбинирование,6,27,21
Домашний_batch_1,Формовка,12,13,1
Домашний_batch_1,Расстойка,13,38,25
Хлеб «Тартин бездрожжевой»_batch_1,Формовка,15,17,2
Багет новый_batch_3,Формовка,16,19,3
Хлеб «Тартин бездрожжевой»_batch_1,Расстойка,17,37,20
Багет новый_batch_3,Расстойка,19,44,25
Формовой_batch_16,Комбинирование,26,47,21
Формовой_batch_21,Смешивание,26,38,12
Булочка для гамбургера большой с кунжутом_batch_11,Смешивание,27,37,10
Любимый_batch_4,Комбинирование,27,48,21
Булочка для гамбургера большой с кунжутом_batch_11,Формовка,37,48,11
Хлеб «Тартин бездрожжевой»_batch_1,Выпекание,37,53,16
Домашний_batch_1,Выпекание,38,55,17
Формовой_batch_21,Формовка,38,49,11
Багет новый_batch_3,Выпекание,44,69,25
Сэндвич_batch_6,Комбинирование,47,68,21
Формовой_batch_16,Смешивание,47,59,12
Булочка для гамбургера большой с кунжутом_batch_11,Расстойка,48,73,25
Любимый_batch_4,Смешивание,48,58,10
Формовой_batch_6,Комбинирование,48,69,21
Формовой_batch_21,Расстойка,49,74,25
Хлеб «Тартин бездрожжевой»_batch_1,Остывание,53,113,60
Домашний_batch_1,Остывание,55,115,60
Любимый_batch_4,Формовка,58,69,11
Формовой_batch_16,Формовка,59,70,11
Сэндвич_batch_3,Комбинирование,68,89,21
Сэндвич_batch_6,Смешивание,68,78,10
Багет новый_batch_3,Остывание,69,144,75
Любимый_batch_4,Расстойка,69,94,25
Формовой_batch_11,Комбинирование,69,90,21
Формовой_batch_6,Смешивание,69,81,12
Формовой_batch_16,Расстойка,70,95,25
Булочка для гамбургера большой с кунжутом_batch_11,Выпекание,73,95,22
Формовой_batch_21,Выпекание,74,119,45
Сэндвич_batch_6,Формовка,78,89,11
Формовой_batch_6,Формовка,81,92,11
Сэндвич_batch_3,Смешивание,89,99,10
Сэндвич_batch_6,Расстойка,89,114,25
Формовой_batch_17,Комбинирование,89,110,21
Сэндвич_batch_13,Комбинирование,90,111,21
Формовой_batch_11,Смешивание,90,102,12
Формовой_batch_6,Расстойка,92,117,25
Любимый_batch_4,Выпекание,94,111,17
Булочка для гамбургера большой с кунжутом_batch_11,Остывание,95,140,45
Формовой_batch_16,Выпекание,95,140,45
Сэндвич_batch_3,Формовка,99,110,11
Формовой_batch_11,Формовка,102,113,11
Жайлы_batch_1,Комбинирование,110,131,21
Сэндвич_batch_3,Расстойка,110,135,25
Формовой_batch_17,Смешивание,110,122,12
Любимый_batch_4,Остывание,111,171,60
Отрубной (общий)_batch_1,Комбинирование,111,132,21
Сэндвич_batch_13,Смешивание,111,121,10
Формовой_batch_11,Расстойка,113,138,25
Сэндвич_batch_6,Выпекание,114,136,22
Формовой_batch_6,Выпекание,117,162,45
Формовой_batch_21,Остывание,119,209,90
Сэндвич_batch_13,Формовка,121,132,11
Формовой_batch_17,Формовка,122,133,11
Жайлы_batch_1,Смешивание,131,141,10
Формовой_batch_5,Комбинирование,131,152,21
Отрубной (общий)_batch_1,Смешивание,132,142,10
Сэндвич_batch_13,Расстойка,132,157,25
Сэндвич_batch_20,Комбинирование,132,153,21
Формовой_batch_17,Расстойка,133,158,25
Сэндвич_batch_3,Выпекание,135,157,22
Сэндвич_batch_6,Остывание,136,181,45
Формовой_batch_11,Выпекание,138,183,45
Формовой_batch_16,Остывание,140,230,90
Жайлы_batch_1,Формовка,141,152,11
Отрубной (общий)_batch_1,Формовка,142,153,11
Жайлы_batch_1,Расстойка,152,177,25
Любимый_batch_2,Комбинирование,152,173,21
Формовой_batch_5,Смешивание,152,164,12
Бородинский_batch_3,Комбинирование,153,174,21
Отрубной (общий)_batch_1,Расстойка,153,178,25
Сэндвич_batch_20,Смешивание,153,163,10
Сэндвич_batch_13,Выпекание,157,179,22
Сэндвич_batch_3,Остывание,157,202,45
Формовой_batch_17,Выпекание,158,203,45
Формовой_batch_6,Остывание,162,252,90
Сэндвич_batch_20,Формовка,163,174,11
Формовой_batch_5,Формовка,164,175,11
Любимый_batch_2,Смешивание,173,183,10
Плетенка_batch_1,Комбинирование,173,192,19
Бородинский_batch_3,Смешивание,174,184,10
Булочка для хотдога штучно_batch_1,Комбинирование,174,195,21
Сэндвич_batch_20,Расстойка,174,199,25
Формовой_batch_5,Расстойка,175,200,25
Жайлы_batch_1,Выпекание,177,194,17
Отрубной (общий)_batch_1,Выпекание,178,195,17
Сэндвич_batch_13,Остывание,179,224,45
Любимый_batch_2,Формовка,183,194,11
Формовой_batch_11,Остывание,183,273,90
Бородинский_batch_3,Формовка,184,195,11
Плетенка_batch_1,Смешивание,192,202,10
Сэндвич_batch_25,Комбинирование,192,213,21
Жайлы_batch_1,Остывание,194,254,60
